TrialID,ParticipantAnswer,CorrectAnswer,Accuracy,ConditionID,RepetitionID,SceneID,Distance,DensityRatio
0,2,2,1,1,8,48,2,0.2
1,1,1,1,1,3,43,2,0.2
2,2,2,1,1,9,49,2,0.2
3,1,1,1,2,3,53,2,-0.2
4,1,1,1,2,2,52,2,-0.2
5,1,1,1,1,5,45,2,0.2
6,2,2,1,2,7,57,2,-0.2
7,2,2,1,1,7,47,2,0.2
8,2,2,1,2,9,59,2,-0.2
9,2,2,1,2,8,58,2,-0.2
10,1,1,1,1,2,42,2,0.2
11,2,2,1,1,4,44,2,0.2
12,2,2,1,2,1,51,2,-0.2
13,2,2,1,1,1,41,2,0.2
14,2,2,1,2,5,55,2,-0.2
15,2,1,0,2,6,56,2,-0.2
16,2,1,0,2,10,60,2,-0.2
17,1,1,1,1,10,50,2,0.2
18,1,1,1,1,6,46,2,0.2
19,2,1,0,2,4,54,2,-0.2
