TrialID,ParticipantAnswer,CorrectAnswer,Accuracy,ConditionID,RepetitionID,SceneID,Distance,DensityRatio
0,2,1,0,1,6,26,1.414,0.2
1,2,2,1,2,5,35,1.414,-0.2
2,2,1,0,1,10,30,1.414,0.2
3,1,1,1,2,10,40,1.414,-0.2
4,1,1,1,1,3,23,1.414,0.2
5,1,1,1,1,2,22,1.414,0.2
6,2,2,1,1,7,27,1.414,0.2
7,2,2,1,1,1,21,1.414,0.2
8,2,2,1,2,9,39,1.414,-0.2
9,2,2,1,1,4,24,1.414,0.2
10,2,2,1,2,7,37,1.414,-0.2
11,1,1,1,2,3,33,1.414,-0.2
12,2,1,0,2,6,36,1.414,-0.2
13,1,1,1,2,2,32,1.414,-0.2
14,1,1,1,1,5,25,1.414,0.2
15,2,2,1,2,8,38,1.414,-0.2
16,2,2,1,2,1,31,1.414,-0.2
17,1,1,1,2,4,34,1.414,-0.2
18,2,2,1,1,9,29,1.414,0.2
19,2,2,1,1,8,28,1.414,0.2
