TrialID,ParticipantAnswer,CorrectAnswer,Accuracy,ConditionID,RepetitionID,SceneID,Distance,DensityRatio
0,2,2,1,1,1,61,2.828,0.2
1,1,2,0,2,1,71,2.828,-0.2
2,2,2,1,1,4,64,2.828,0.2
3,1,1,1,2,2,72,2.828,-0.2
4,2,2,1,1,7,67,2.828,0.2
5,2,2,1,1,8,68,2.828,0.2
6,1,1,1,2,3,73,2.828,-0.2
7,1,1,1,1,3,63,2.828,0.2
8,2,2,1,2,5,75,2.828,-0.2
9,1,1,1,1,6,66,2.828,0.2
10,1,1,1,2,6,76,2.828,-0.2
11,1,1,1,2,4,74,2.828,-0.2
12,1,1,1,2,10,80,2.828,-0.2
13,2,2,1,2,8,78,2.828,-0.2
14,1,1,1,1,10,70,2.828,0.2
15,2,1,0,1,2,62,2.828,0.2
16,2,2,1,2,7,77,2.828,-0.2
17,2,2,1,1,9,69,2.828,0.2
18,1,1,1,1,5,65,2.828,0.2
19,2,2,1,2,9,79,2.828,-0.2
